Basket +14.8 ct-buffer
2/3 Black Mb 8 grs (blacks)
2/3 Black Mb 5/6 grs (blacks)
2/3 Black mb 4 grs (blacks)
2/3 Blacks Shaped Mb 4-8 grs.
2/3 Black Shaped Mb 8 grs
2/3 Black Shaped Mb 5-6 grs
2/3 Black Shaped Mb 4 grs
3 Col Fancies 4-8 grs
3 Col Fancies 8grs
3 Col Fancies 5-6 grs
3 Col Fancies 4grs
1st Brown Mb 4-8 grs
1st Brown Mb 8 grs
1st Brown Mb 5-6 grs
1st Brown Mb 4 grs
Indian Clivage 4-8 grs
Indian Clivage 8 grs
Indian Clivage 5-6 grs
Indian Clivage 4 grs
1-3 Col Mxd Z 8 grs -3grs (non piq)
1-3 COL Mxd Z 8grs ( non piq )
1-3 COL Mxd Z 5-6 grs( non piq)
1-3 COL Mxd Z 4 grs ( non piq)
1-3 COL Mxd Z 3 grs ( non piq)
Z 3 grs +7 (mele)
Z 3 grs (mele)
Z +11 (mele)
Z +9 (mele)
Z +7 (mele)
Z -7
Z -7+5
Z -5+3
Z -3
Col'd Z 3grs +7
Col'd Z 3grs
Col'd Z + 11
Col'd Z -11+9
Col'd Z +7
Brown Z -3grs /+7
Brown Z 3 grs
Brown Z +11
Brown Z -11+9
Brown Z +7
Z / Longs 3grs / +7
Z / Longs 3 grs
Z / Longs +11
Z / Longs -11+9
Z / Longs +7
Z / Cliv -2 grs+3
Z / Cliv +11
Z / Cliv 11+9
Z / Cliv +7
Z / Cliv +5
Z / Cliv +3
Mb High -3grs +7
Mb High 3grs
Mb High +11
Mb High -11 +9
Mb High +7
Mb High (-7+3)
Mb High -7+5
Mb High -5+3
Mb (-7+3) Low
Mb Low 7-5
Mb Low 5-3
Cubes -3grs +7
Cubes 3 grs
Cubes +11
Cubes -11+9
Cubes +7
Indian Flats -3grs
Indian Flats 3 grs
Indian Flats +11
Indian Flats -11+9
Indian Flats+7
Indian Longs -3grs/+5
Indian Longs 3 grs
Indian Longs +11
Indian Longs -11+9
Indian Longs +7
Indian Longs +5
Mb Clivage -3grs +7
Mb Clivage 3 grs
Mb Clivage +11
Mb Clivage +7
Mb Clivage +5
Brn Cliv/Mb 3-6 grs
Brn Cliv/Mb -3 gr
1st Col Rejn (H-L) +11/+7 - abc clivage
1st Col Rejns (H-L)-7/+3 -abc clivage
Grey Rej +7/3grs
Grey Pique
Rejn Flats
Mixed Rejns
Cold&brn 7/5
Serie box +3/10cts
Col'd Cliv/Mb -3grs
Col'd Spotted 2.5-10ct
Col'd Select Mb 2.5-10 ct
Fancy col'd fine 2.5-10ct
Brown Cliv/Mb 2-10 ct
Yellow Brown 2-10 ct
Col'd Crystals 4-8 grs
Col'd Crystals 8 grs
Col'd Crystals 5-6 grs
Col'd Crystals 4 grs
Boart
Cubes -7+5
Frosted Z 3grs / +9
Frosted Z 3 grs
Frosted Z -2grs /+9
Preparers Low 3-6 grs
Preparers low lot 1 Mb
Preparers low lot 2 cubes
Mxd Crystals 3 grs/+5
Mxd Crystals 3grs
Mxd Crystals +11
Mxd Crystals -11+9
Mxd Crystals -9+7
Mxd Crystals -7+5
3 Col Mb 4-8 grs
3 Col Mb 8 grs
3 Col Mb 5-6 grs
3 Col Mb 4 grs
3 Col Chips 4-8 grs
3 Col Chips 8 grs
3 Col Chips 5-6 grs
3 Col Chips 4 grs
Spotted Crystals 2.5-10 ct.
